"Reference","Value","Datasheet","Qty","Digi-Key_PN","MPN"
"C1,C5,C6","0.1uF","~","3","1276-1005-1-ND","CL10B104KO8NNNC"
"C3,C4","10uF","~","2","490-5523-1-ND","GRM21BR61E106KA73L"
"J2","String1","~","1","277-5737-ND/ED10555-ND","1843619/OSTTJ0311530"
"J3","OLED","https://www.amazon.com/dp/B06XRBTBTB/ref=sspa_dk_detail_0","1","",""
"R1","33ohm","~","1","311-33GRCT-ND","RC0603JR-0733RL"
"R2","0.1 OHM 2W","~","1","CSRN2512FTR100CT-ND","CSRN2512FTR100"
"R3,R4","10K","~","2","311-10.0KHRCT-ND","RC0603FR-0710KL"
"SW1","Test","~","1","CKN10880CT-ND","PTS645SL43SMTR92 LFS"
"TB1","Power In","","1","A98472-ND","4DB-P108-02"
"U1","74AHCT1G125","http://www.ti.com/lit/sg/scyt129e/scyt129e.pdf","1","74AHCT1G125W5-7DICT-ND","74AHCT1G125W5-7"
"U2","MOUDLE-SEEEDUINO-XIAO","","1","1597-102010428-ND","102010428"
"U3","AMS1117-5.0","http://www.advanced-monolithic.com/pdf/ds1117.pdf","1","488-LM1117MPX-50NOPBCT-ND","LM1117MPX-50NOPB"
"U4","INA219BxD","http://www.ti.com/lit/ds/symlink/ina219.pdf","1","296-27899-1-ND","INA219BIDR"
